,GP,MIN,PTS,FGM,3P Made,3P%,FT%,OREB,REB,AST,STL,BLK,TARGET_5Yrs
0,36,27.4,7.4,2.6,0.5,25.0,69.9,0.7,4.1,1.9,0.4,0.4,0.0
1,35,26.9,7.2,2.0,0.7,23.5,76.5,0.5,2.4,3.7,1.1,0.5,0.0
2,74,15.3,5.2,2.0,0.4,24.4,67.0,0.5,2.2,1.0,0.5,0.3,0.0
3,58,11.6,5.7,2.3,0.1,22.6,68.9,1.0,1.9,0.8,0.6,0.1,1.0
4,48,11.5,4.5,1.6,0.0,0.0,67.4,1.0,2.5,0.3,0.3,0.4,1.0
5,75,11.4,3.7,1.5,0.3,32.5,73.2,0.2,0.8,1.8,0.4,0.0,0.0
6,62,10.9,6.6,2.5,0.0,50.0,81.1,0.5,2.0,0.6,0.2,0.1,1.0
7,48,10.3,5.7,2.3,0.4,30.0,87.5,0.8,1.7,0.2,0.2,0.1,1.0
8,65,9.9,2.4,1.0,0.1,23.3,71.4,0.2,0.8,2.3,0.3,0.0,0.0
9,42,8.5,3.7,1.4,0.1,21.4,67.8,0.4,1.1,0.3,0.2,0.0,0.0
10,35,6.9,2.3,0.9,0.0,33.3,81.8,0.5,0.9,0.7,0.1,0.1,0.0
11,40,6.7,3.6,1.2,0.1,13.6,77.6,0.5,1.2,0.4,0.3,0.1,1.0
12,27,6.6,1.3,0.6,0.0,0.0,28.6,0.6,2.0,0.2,0.2,0.6,1.0
13,45,15.3,5.6,1.9,1.1,30.1,86.1,0.5,2.0,0.5,0.5,0.3,0.0
14,44,6.4,2.4,1.0,0.0,0.0,50.0,0.4,1.4,0.2,0.2,0.4,1.0
15,40,6.1,2.6,0.9,0.1,14.3,68.4,0.1,0.4,1.4,0.3,0.0,1.0
16,49,5.3,2.1,0.7,0.0,0.0,64.2,0.5,1.2,0.2,0.3,0.2,0.0
17,41,4.2,1.7,0.6,0.1,21.4,73.1,0.1,0.3,1.0,0.3,0.0,0.0
18,82,37.2,19.2,7.5,0.1,22.7,82.9,3.9,11.0,3.6,1.0,0.6,0.0
19,82,37.2,19.2,7.5,0.1,22.7,82.9,3.9,11.0,3.6,1.0,0.6,1.0
20,80,31.4,14.3,5.9,0.0,11.1,65.4,3.0,8.0,2.4,1.1,0.8,1.0
21,82,30.5,13.3,5.4,0.0,16.7,66.6,2.3,5.1,2.5,1.5,0.3,1.0
22,76,30.3,10.6,4.4,0.1,13.3,73.0,1.1,2.9,2.2,2.0,0.2,1.0
23,61,29.6,12.0,4.9,0.7,32.0,74.8,1.3,3.1,4.6,1.0,0.3,0.0
24,32,15.2,6.3,2.8,0.0,0.0,62.5,1.7,5.2,0.4,0.5,0.5,0.0
25,76,29.3,10.4,4.0,0.0,0.0,80.7,2.4,5.9,1.6,0.7,0.6,1.0
26,52,24.6,9.3,3.1,1.1,43.4,83.6,0.5,1.9,3.7,0.6,0.0,0.0
27,76,22.5,8.8,3.8,0.0,0.0,73.6,1.7,5.1,1.7,0.8,0.5,1.0
28,78,22.0,10.1,3.9,0.7,39.0,74.1,0.9,3.0,2.2,1.2,0.3,0.0
29,51,20.7,8.4,3.2,0.0,0.0,66.7,2.3,5.4,0.8,0.5,0.5,1.0
30,64,20.3,6.2,2.4,0.0,0.0,57.2,2.5,6.4,0.5,0.4,1.2,1.0
31,55,20.3,10.4,4.3,0.0,0.0,51.5,2.1,6.1,0.7,0.4,1.5,1.0
32,82,19.6,7.4,3.1,0.0,4.3,80.6,0.6,2.0,3.9,1.0,0.3,1.0
33,48,18.9,9.1,3.6,0.0,0.0,66.9,2.4,5.7,0.7,0.8,1.1,1.0
34,34,13.4,4.3,1.5,0.4,18.5,91.2,0.1,1.4,3.1,0.6,0.2,0.0
35,42,18.6,8.5,3.1,0.7,35.7,83.3,0.7,2.0,1.1,0.8,0.1,1.0
36,82,18.4,5.5,2.0,0.1,14.5,74.1,0.4,1.7,3.8,0.7,0.1,1.0
37,64,17.0,7.0,2.9,0.0,23.1,74.5,0.6,2.0,3.2,1.1,0.1,1.0
38,80,16.9,7.4,3.0,0.0,0.0,69.1,1.3,4.2,0.4,0.6,0.8,1.0
39,77,15.1,5.6,2.3,0.0,21.4,81.0,1.4,3.8,0.4,0.3,0.6,1.0
